Jahr;Gebiet;Sachmerkmal;Nettoeinkommen
2015;Eutritzsch,Persoenliches Einkommen,1170;"86064854204""";1454,41243894891
2015;Seehausen,Persoenliches Einkommen,1215;"85207009075""";1532,34786335259
2015;Wiederitzsch,Persoenliches Einkommen,1182;"25930901437""";1679,66831269493
2015;Mitte,Persoenliches Einkommen,1232;"61291070668""";1425,48164667381
2015;Nordost,Persoenliches Einkommen,997;"115176850823""";1238,51966962911
2015;Ost,Persoenliches Einkommen,990;"597956224431""";1198,02470412333
2015;Suedost,Persoenliches Einkommen,1022;"17417273885""";1254,75192836033
2015;Sued,Persoenliches Einkommen,1086;"11466049852""";1325,853315684
2015;Suedwest,Persoenliches Einkommen,1084;"33778742868""";1406,81116968633
2015;West,Persoenliches Einkommen,1028;"50127157781""";1273,69454967225
2015;Alt-West,Persoenliches Einkommen,1060;"35697905217""";1352,60709704827
2015;Nordwest,Persoenliches Einkommen,1006;"9258674381""";1454,06644984535
2015;Nord,Persoenliches Einkommen,1201;"27377553616""";1523,43327724741
2015;Stadt Leipzig,Persoenliches Einkommen,1066;"01430298254""";1327,75857836967
2015;Zentrum,Haushaltseinkommen,1087;"80187132455""";1795,50920370952
2015;Zentrum-Ost,Haushaltseinkommen,1466;"06678370279""";2348,54903677148
2015;Zentrum-Suedost,Haushaltseinkommen,1202;"33006688454""";1193,04355399358
2015;Zentrum-Sued,Haushaltseinkommen,1544;"51700734588""";2042,69185058212
2015;Zentrum-West,Haushaltseinkommen,1530;"99167808915""";2283,19636452758
2015;Zentrum-Nordwest,Haushaltseinkommen,2131;"48217842793""";2376,30736287979
2015;Zentrum-Nord,Haushaltseinkommen,1471;"54674208864""";2381,93861818003
2015;Schoenefeld-Abtnaundorf,Haushaltseinkommen,1096;"48429727869""";1684,94916556228
2015;Schoenefeld-Ost,Haushaltseinkommen,1342;"257274574""";1352,95030403813
2015;Mockau-Sued,Haushaltseinkommen,1269;"23100664899""";1666,13650289409
2015;Mockau-Nord,Haushaltseinkommen,1236;"96250899009""";1726,87657713495
2015;Thekla,Haushaltseinkommen,1370;"00408535438""";1688,1714832035
2015;Plaussig-Portitz,Haushaltseinkommen,1900;"90504995806""";2248,30008401663
2015;Neustadt-Neuschoenefeld;Haushaltseinkommen;1425,43458723165
2015;Volkmarsdorf;Haushaltseinkommen;1216,77713536551
2015;Anger-Crottendorf;Haushaltseinkommen;1622,09109987986
2015;Sellerhausen-Stuenz;Haushaltseinkommen;1538,31983239689
2015;Paunsdorf;Haushaltseinkommen;1359,00832872344
2015;Heiterblick;Haushaltseinkommen;1828,5874985648
2015;Moelkau;Haushaltseinkommen;2375,39749252224
2015;Engelsdorf;Haushaltseinkommen;2157,11645637386
