,Gebiet,Sachmerkmal,Jahr,Nettoeinkommen
162,Volkmarsdorf,Persoenliches Einkommen,2013,"797,784691497263"
163,Anger-Crottendorf,Persoenliches Einkommen,2013,"1008,20571211122"
164,Sellerhausen-Stuenz,Persoenliches Einkommen,2013,"1156,22211303367"
165,Paunsdorf,Persoenliches Einkommen,2013,"1152,56610109651"
166,Heiterblick,Persoenliches Einkommen,2013,"1180,99211309959"
167,Moelkau,Persoenliches Einkommen,2013,"1302,74935110407"
168,Engelsdorf,Persoenliches Einkommen,2013,"1278,45502803295"
169,Baalsdorf,Persoenliches Einkommen,2013,"1328,59423540916"
170,Althen-Kleinpoesna,Persoenliches Einkommen,2013,"1278,07763149338"
171,Reudnitz-Thonberg,Persoenliches Einkommen,2013,"1113,09459551184"
172,Stoetteritz,Persoenliches Einkommen,2013,"1183,84084277403"
173,Probstheida,Persoenliches Einkommen,2013,"1376,09445557938"
174,Meusdorf,Persoenliches Einkommen,2013,"1124,7572536232"
175,Liebertwolkwitz,Persoenliches Einkommen,2013,"1198,21390782151"
176,Holzhausen,Persoenliches Einkommen,2013,"1251,66216165169"
177,Suedvorstadt,Persoenliches Einkommen,2013,"1194,97479229623"
178,Connewitz,Persoenliches Einkommen,2013,"1150,30457234274"
179,Marienbrunn,Persoenliches Einkommen,2013,"1158,00289172507"
180,Loessnig,Persoenliches Einkommen,2013,"1073,56135943547"
181,"Doelitz-Doesen,Persoenliches Einkommen,1149","80949230727""",2013,"1326,6731743186"
182,"Schleussig,Persoenliches Einkommen,1164","56017966956""",2013,"1460,5392288974"
183,"Plagwitz,Persoenliches Einkommen,1225","02248661079""",2013,"1554,6294434375"
184,"Kleinzschocher,Persoenliches Einkommen,960","714072472308""",2013,"1271,28469063531"
185,"Grosszschocher,Persoenliches Einkommen,1095","87639447864""",2013,"1153,4565131558"
186,"Knautkleeberg-Knauthain,Persoenliches Einkommen,1150","6422073346""",2013,"1353,79468494812"
187,"Hartmannsdorf-Knautnaundorf,Persoenliches Einkommen,1097","4459160057""",2013,"1424,11613216715"
188,"Schoenau,Persoenliches Einkommen,1044","99386350261""",2013,"1222,43407646404"
